Player,FG,FGA,PCT,LG,19-Jan,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,OWN
Michael Badgley,3,3,100,52,0,0,1,1,1,3,3,1,15,15,19.90%
Ryan Succop,4,4,100,43,0,0,2,2,0,1,1,1,15,15,46.80%
Wil Lutz,4,5,80,39,0,1,3,0,0,2,2,1,14,14,92.80%
Cairo Santos,3,3,100,51,0,1,0,1,1,2,2,1,14,14,1.60%
Greg Zuerlein,3,4,75,59,0,0,0,2,1,0,0,1,13,13,55.10%
Younghoe Koo,4,4,100,37,0,2,2,0,0,1,2,1,13,13,87.50%
Sergio Castillo,3,4,75,55,0,0,1,1,1,0,0,1,12,12,0.10%
Daniel Carlson,3,4,75,33,0,2,1,0,0,1,1,1,10,10,46.00%
Justin Tucker,1,1,100,51,0,0,0,0,1,3,3,1,8,8,98.20%
Jason Myers,1,1,100,48,0,0,0,1,0,4,5,1,8,8,26.30%
Nick Folk,2,2,100,43,0,0,1,1,0,1,1,1,8,8,5.70%
Cody Parkey,2,3,66.7,41,0,0,1,1,0,0,0,1,7,7,1.00%
Brandon McManus,1,1,100,35,0,0,1,0,0,4,4,1,7,7,33.80%
Randy Bullock,1,1,100,33,0,0,1,0,0,4,4,1,7,7,30.00%
Tyler Bass,1,1,100,28,0,1,0,0,0,3,3,1,6,6,5.90%
Joey Slye,1,1,100,39,0,0,1,0,0,2,2,1,5,5,49.50%
Harrison Butker,0,0,0,0,0,0,0,0,0,5,5,1,5,5,98.30%
Graham Gano,1,1,100,33,0,0,1,0,0,2,2,1,5,5,12.30%
Kai Forbath,1,2,50,23,0,1,0,0,0,2,2,1,5,5,0.80%
Jason Sanders,0,0,0,0,0,0,0,0,0,4,4,1,4,4,18.50%
Chris Boswell,0,0,0,0,0,0,0,0,0,4,4,1,4,4,37.60%
Dan Bailey,0,0,0,0,0,0,0,0,0,4,4,1,4,4,15.70%
Rodrigo Blankenship,0,0,0,0,0,0,0,0,0,3,5,1,3,3,54.90%
Matt Prater,0,1,0,0,0,0,0,0,0,3,3,1,3,3,73.00%
Robbie Gould,0,0,0,0,0,0,0,0,0,3,3,1,3,3,66.20%
Stephen Gostkowski,0,1,0,0,0,0,0,0,0,2,2,1,2,2,32.40%
Mason Crosby,0,0,0,0,0,0,0,0,0,2,2,1,2,2,33.30%
Jake Elliott,0,0,0,0,0,0,0,0,0,1,1,1,1,1,22.80%
Zane Gonzalez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.20%
Rigoberto Sanchez,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
Michael Palardy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.30%
Eddy Pineiro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10%
Greg Joseph,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Kaare Vedvik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20%
Ryan Santoso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Sam Ficken,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20%
Matt McCrane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Ka'imi Fairbairn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.30%
Ty Long,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.60%
Josh Lambo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.10%
Jonathan Brown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10%
Aldrick Rosas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10%
Cameron Nizialek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Matt Gay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.50%
Elliott Fry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.70%
Austin Seibert,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.10%
Chase McLaughlin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60%
Justin Rohrwasser,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10%
Dominik Eberle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Tucker McCann,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Austin MacGinnis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Mike Nugent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00%
Parker Douglass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Piotr Czech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Steven Weatherford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Zac Derr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
