Player,FG,FGA,PCT,LG,19-Jan,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,OWN
Jason Sanders,5,5,100,45,0,2,0,3,0,0,0,1,18,18,59.30%
Sam Ficken,5,5,100,54,0,1,3,0,1,1,1,1,18,18,0.30%
Brandon McManus,3,3,100,54,0,0,0,1,2,4,4,1,18,18,7.60%
Randy Bullock,4,4,100,46,0,0,2,2,0,3,3,1,17,17,29.10%
Aldrick Rosas,4,5,80,50,0,1,2,0,1,1,1,1,15,15,0.10%
Rodrigo Blankenship,4,4,100,44,0,1,2,1,0,1,1,1,14,14,82.90%
Daniel Carlson,3,3,100,54,0,1,1,0,1,2,2,1,13,13,8.50%
Ka'imi Fairbairn,3,3,100,50,0,2,0,0,1,2,2,1,13,13,30.80%
Cody Parkey,2,2,100,44,0,0,1,1,0,5,5,1,12,12,2.70%
Graham Gano,3,3,100,37,0,1,2,0,0,0,0,1,9,9,19.70%
Jason Myers,1,1,100,55,0,0,0,0,1,4,4,1,9,9,24.80%
Michael Badgley,1,2,50,53,0,0,0,0,1,4,4,1,9,9,5.90%
Justin Tucker,1,1,100,46,0,0,0,1,0,4,4,1,8,8,99.70%
Ryan Succop,1,2,50,26,0,1,0,0,0,5,5,1,8,8,11.00%
Harrison Butker,2,2,100,39,0,1,1,0,0,2,3,1,8,8,97.50%
Dan Bailey,1,2,50,31,0,0,1,0,0,4,4,1,7,7,28.80%
Mason Crosby,1,1,100,48,0,0,0,1,0,3,4,1,7,7,53.20%
Joey Slye,1,2,50,27,0,1,0,0,0,4,4,1,7,7,44.60%
Tyler Bass,1,1,100,34,0,0,1,0,0,3,4,1,6,6,3.90%
Dustin Hopkins,1,2,50,43,0,0,0,1,0,2,2,1,6,6,0.60%
Sam Sloman,1,1,100,32,0,0,1,0,0,2,2,1,5,5,5.50%
Nick Folk,1,1,100,43,0,0,0,1,0,1,1,1,5,5,2.00%
Jake Elliott,1,1,100,35,0,0,1,0,0,2,2,1,5,5,34.90%
Wil Lutz,0,0,0,0,0,0,0,0,0,5,5,1,5,5,74.10%
Elliott Fry,1,1,100,23,0,1,0,0,0,1,2,1,4,4,1.00%
Zane Gonzalez,0,0,0,0,0,0,0,0,0,3,3,1,3,3,61.80%
Cairo Santos,1,1,100,27,0,1,0,0,0,0,0,1,3,3,0.20%
Matt Prater,0,0,0,0,0,0,0,0,0,3,3,1,3,3,51.20%
Robbie Gould,0,0,0,0,0,0,0,0,0,2,2,1,2,2,77.20%
Greg Zuerlein,0,0,0,0,0,0,0,0,0,2,2,1,2,2,84.20%
Younghoe Koo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.30%
Ryan Santoso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Kaare Vedvik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20%
Greg Joseph,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Eddy Pineiro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10%
Rigoberto Sanchez,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
Jonathan Brown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10%
Ty Long,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.70%
Sergio Castillo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Michael Palardy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.30%
Josh Lambo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.40%
Matt McCrane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Cameron Nizialek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Matt Gay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.80%
Austin Seibert,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.10%
Chase McLaughlin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.70%
Dominik Eberle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Tucker McCann,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Justin Rohrwasser,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20%
Chris Boswell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.80%
Parker Douglass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Piotr Czech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Stephen Gostkowski,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.90%
Steven Weatherford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Zac Derr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Ricky Schmit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Mike Nugent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00%
Jason Reda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Andrew Wellock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Carlos Martinez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Garrett Rivas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
MacKenzie Hoambrecker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Mark Hickok,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Kai Forbath,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20%
Saverio Rocca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Clint Stitser,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Brett Maher,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Andrew Jacas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Connor Hughes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Garrett Lindholm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
