Player,FG,FGA,PCT,LG,19-Jan,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,OWN
Tyler Bass,6,8,75,53,0,1,1,3,1,0,0,1,23,23,5.50%
Matt Prater,3,4,75,51,0,0,0,1,2,2,2,1,16,16,69.40%
Zane Gonzalez,3,4,75,49,0,0,0,3,0,4,4,1,16,16,35.70%
Harrison Butker,3,3,100,40,0,1,1,1,0,4,5,1,14,14,98.50%
Jason Myers,2,2,100,44,0,0,0,2,0,4,4,1,12,12,24.10%
Wil Lutz,2,2,100,43,0,0,0,2,0,3,3,1,11,11,88.00%
Robbie Gould,2,2,100,41,0,0,1,1,0,3,4,1,10,10,71.30%
Randy Bullock,2,2,100,37,0,1,1,0,0,4,4,1,10,10,53.00%
Ryan Succop,1,1,100,29,0,1,0,0,0,6,6,1,9,9,23.00%
Daniel Carlson,2,2,100,42,0,0,1,1,0,2,2,1,9,9,30.30%
Chris Boswell,2,2,100,38,0,0,2,0,0,3,3,1,9,9,36.20%
Michael Badgley,2,3,66.7,35,0,0,2,0,0,3,4,1,9,9,15.40%
Cody Parkey,1,1,100,43,0,0,0,1,0,4,5,1,8,8,2.40%
Ka'imi Fairbairn,2,3,66.7,38,0,1,1,0,0,2,2,1,8,8,17.10%
Nick Folk,2,2,100,41,0,0,0,2,0,0,0,1,8,8,3.30%
Stephen Gostkowski,1,2,50,51,0,0,0,0,1,3,3,1,8,8,37.00%
Joey Slye,1,2,50,43,0,0,0,1,0,3,3,1,7,7,56.50%
Sam Sloman,1,2,50,22,0,1,0,0,0,3,3,1,6,6,3.90%
Mason Crosby,0,0,0,0,0,0,0,0,0,5,5,1,5,5,51.00%
Brandon McManus,1,1,100,43,0,0,0,1,0,1,2,1,5,5,28.80%
Cairo Santos,1,1,100,42,0,0,0,1,0,1,1,1,5,5,0.90%
Dustin Hopkins,1,2,50,30,0,0,1,0,0,2,2,1,5,5,0.80%
Sergio Castillo,1,1,100,29,0,1,0,0,0,1,1,1,4,4,0.00%
Greg Zuerlein,1,1,100,45,0,0,0,1,0,0,0,1,4,4,59.20%
Jake Elliott,1,2,50,31,0,0,1,0,0,1,1,1,4,4,40.20%
Graham Gano,0,0,0,0,0,0,0,0,0,3,3,1,3,3,18.30%
Younghoe Koo,0,0,0,0,0,0,0,0,0,2,2,1,2,2,73.60%
Josh Lambo,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1.20%
Ryan Santoso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Greg Joseph,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Kaare Vedvik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20%
Sam Ficken,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20%
Eddy Pineiro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10%
Jason Sanders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.20%
Rigoberto Sanchez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Aldrick Rosas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10%
Ty Long,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.60%
Michael Palardy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.30%
Jonathan Brown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10%
Matt McCrane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Matt Gay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.60%
Elliott Fry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.80%
Austin Seibert,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.40%
Chase McLaughlin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60%
Cameron Nizialek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Dominik Eberle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Rodrigo Blankenship,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.50%
Tucker McCann,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Austin MacGinnis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Justin Rohrwasser,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10%
Parker Douglass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Piotr Czech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Steven Weatherford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Zac Derr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Ricky Schmit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Mike Nugent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00%
Jason Reda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Andrew Wellock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Carlos Martinez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Garrett Rivas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
MacKenzie Hoambrecker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Mark Hickok,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Dan Bailey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.30%
Saverio Rocca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Justin Tucker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.70%
Brett Maher,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Andrew Jacas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Kai Forbath,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.20%
Clint Stitser,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Connor Hughes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Garrett Lindholm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
