Player,FG,FGA,PCT,LG,19-Jan,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,OWN
Younghoe Koo,4,4,100,42,0,1,1,2,0,3,3,1,17,17,44.30%
Justin Tucker,4,4,100,47,0,1,2,1,0,3,3,1,16,16,99.70%
Rodrigo Blankenship,4,4,100,44,0,1,2,1,0,2,2,1,15,15,82.90%
Randy Bullock,3,3,100,43,0,1,1,1,0,3,3,1,13,13,29.10%
Zane Gonzalez,3,3,100,49,0,1,1,1,0,3,3,1,13,13,61.80%
Harrison Butker,3,3,100,58,0,0,1,0,2,0,1,1,13,13,97.50%
Ka'imi Fairbairn,3,3,100,45,0,0,1,2,0,1,1,1,12,12,30.80%
Stephen Gostkowski,2,2,100,51,0,0,0,1,1,3,4,1,12,12,44.90%
Daniel Carlson,2,2,100,54,0,1,0,0,1,4,4,1,12,12,8.50%
Greg Zuerlein,2,2,100,46,0,0,1,1,0,4,4,1,11,11,84.20%
Jason Sanders,2,2,100,52,0,0,0,1,1,2,2,1,11,11,59.30%
Mason Crosby,2,2,100,43,0,0,1,1,0,4,4,1,11,11,53.20%
Michael Badgley,2,2,100,41,0,1,0,1,0,2,2,1,9,9,5.90%
Sam Ficken,2,2,100,41,0,1,0,1,0,1,1,1,8,8,0.30%
Brandon McManus,2,3,66.7,49,0,1,0,1,0,1,1,1,8,8,7.60%
Robbie Gould,1,1,100,46,0,0,0,1,0,4,4,1,8,8,77.20%
Graham Gano,2,3,66.7,39,0,0,2,0,0,1,1,1,7,7,19.70%
Ryan Succop,1,1,100,33,0,0,1,0,0,4,4,1,7,7,11.00%
Jake Elliott,2,2,100,38,0,0,2,0,0,1,1,1,7,7,34.90%
Tyler Bass,1,1,100,39,0,0,1,0,0,4,4,1,7,7,3.90%
Sam Sloman,1,1,100,30,0,0,1,0,0,4,5,1,7,7,5.50%
Nick Folk,1,2,50,25,0,1,0,0,0,3,3,1,6,6,2.00%
Chris Boswell,1,1,100,21,0,1,0,0,0,3,3,1,6,6,39.80%
Wil Lutz,1,1,100,31,0,0,1,0,0,3,3,1,6,6,74.10%
Josh Lambo,1,1,100,35,0,0,1,0,0,3,4,1,6,6,1.40%
Cody Parkey,0,0,0,0,0,0,0,0,0,5,5,1,5,5,2.70%
Cairo Santos,1,2,50,34,0,0,1,0,0,2,2,1,5,5,0.20%
Jason Myers,0,0,0,0,0,0,0,0,0,5,5,1,5,5,24.80%
Joey Slye,1,1,100,23,0,1,0,0,0,2,2,1,5,5,44.60%
Dustin Hopkins,1,1,100,24,0,1,0,0,0,0,0,1,3,3,0.60%
Dan Bailey,1,1,100,21,0,1,0,0,0,0,0,1,3,3,28.80%
Matt Prater,0,1,0,0,0,0,0,0,0,3,3,1,3,3,51.20%
Greg Joseph,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Kaare Vedvik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20%
Eddy Pineiro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10%
Ryan Santoso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Rigoberto Sanchez,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
Aldrick Rosas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10%
Ty Long,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.70%
Sergio Castillo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Michael Palardy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.30%
Jonathan Brown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10%
Matt McCrane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Cameron Nizialek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Matt Gay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.80%
Elliott Fry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00%
Austin Seibert,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.10%
Chase McLaughlin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.70%
Dominik Eberle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Tucker McCann,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Justin Rohrwasser,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20%
Mike Nugent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00%
Parker Douglass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Piotr Czech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Steven Weatherford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
