Player,FG,FGA,PCT,LG,19-Jan,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,OWN
Daniel Carlson,2,2,100,54,0,1,0,0,1,4,4,1,12,12,8.50%
Matt Prater,3,4,75,44,0,1,1,1,0,2,2,1,12,12,51.20%
Mason Crosby,2,2,100,43,0,0,1,1,0,5,5,1,12,12,53.20%
Joey Slye,3,3,100,47,0,0,1,2,0,1,2,1,12,12,44.60%
Josh Lambo,2,2,100,50,0,0,0,1,1,3,3,1,12,12,1.40%
Michael Badgley,3,4,75,43,0,2,0,1,0,1,1,1,11,11,5.90%
Harrison Butker,2,2,100,29,1,1,0,0,0,4,4,1,10,10,97.50%
Robbie Gould,2,2,100,52,0,1,0,0,1,2,2,1,10,10,77.20%
Randy Bullock,2,3,66.7,50,0,0,0,1,1,1,1,1,10,10,29.10%
Wil Lutz,2,2,100,29,0,2,0,0,0,4,4,1,10,10,74.10%
Dustin Hopkins,2,3,66.7,40,0,0,1,1,0,3,3,1,10,10,0.60%
Tyler Bass,2,4,50,22,1,1,0,0,0,3,3,1,9,9,3.90%
Justin Tucker,1,1,100,41,0,0,0,1,0,5,5,1,9,9,99.70%
Younghoe Koo,2,2,100,49,0,0,0,2,0,1,2,1,9,9,44.30%
Chris Boswell,2,2,100,41,0,0,1,1,0,2,3,1,9,9,39.80%
Cairo Santos,2,2,100,35,0,1,1,0,0,3,3,1,9,9,0.20%
Jason Myers,1,1,100,42,0,0,0,1,0,5,5,1,9,9,24.80%
Zane Gonzalez,1,3,33.3,56,0,0,0,0,1,3,3,1,8,8,61.80%
Sam Sloman,2,3,66.7,35,0,0,2,0,0,2,2,1,8,8,5.50%
Rodrigo Blankenship,2,3,66.7,38,0,1,1,0,0,2,2,1,8,8,82.90%
Ryan Succop,1,2,50,38,0,0,1,0,0,2,2,1,5,5,11.00%
Jake Elliott,1,2,50,38,0,0,1,0,0,2,2,1,5,5,34.90%
Greg Zuerlein,1,2,50,33,0,0,1,0,0,2,2,1,5,5,84.20%
Sam Ficken,1,1,100,31,0,0,1,0,0,2,2,1,5,5,0.30%
Graham Gano,1,1,100,21,0,1,0,0,0,1,1,1,4,4,19.70%
Jason Sanders,1,1,100,46,0,0,0,1,0,0,0,1,4,4,59.30%
Dan Bailey,1,1,100,35,0,0,1,0,0,1,1,1,4,4,28.80%
Stephen Gostkowski,1,4,25,25,0,1,0,0,0,1,2,1,4,4,44.90%
Nick Folk,0,1,0,0,0,0,0,0,0,3,3,1,3,3,2.00%
Ka'imi Fairbairn,0,1,0,0,0,0,0,0,0,2,2,1,2,2,30.80%
Brandon McManus,0,0,0,0,0,0,0,0,0,2,2,1,2,2,7.60%
Kaare Vedvik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20%
Greg Joseph,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Eddy Pineiro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10%
Ryan Santoso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Rigoberto Sanchez,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
Aldrick Rosas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10%
Ty Long,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.70%
Sergio Castillo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Cody Parkey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.70%
Michael Palardy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.30%
Jonathan Brown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10%
Matt McCrane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Cameron Nizialek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Matt Gay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.80%
Elliott Fry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00%
Austin Seibert,0,1,0,0,0,0,0,0,0,0,1,1,0,0,6.10%
Chase McLaughlin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.70%
Dominik Eberle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Tucker McCann,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Justin Rohrwasser,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20%
Mike Nugent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00%
Parker Douglass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Piotr Czech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Steven Weatherford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Zac Derr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Ricky Schmit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Jason Reda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Andrew Wellock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Carlos Martinez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Garrett Rivas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
MacKenzie Hoambrecker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Mark Hickok,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Kai Forbath,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20%
Saverio Rocca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Clint Stitser,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Brett Maher,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Andrew Jacas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Connor Hughes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Garrett Lindholm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
