Player,FG,FGA,PCT,LG,19-Jan,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,OWN
Jason Sanders,5,5,100,50,0,2,1,1,1,4,4,1,22,22,59.30%
Graham Gano,4,4,100,55,0,1,0,0,3,2,2,1,20,20,19.70%
Wil Lutz,3,3,100,53,0,0,1,1,1,3,3,1,15,15,74.10%
Ryan Succop,4,4,100,46,0,1,2,1,0,1,1,1,14,14,11.00%
Greg Zuerlein,3,3,100,40,0,1,1,1,0,4,4,1,14,14,84.20%
Cody Parkey,3,3,100,46,0,1,1,1,0,3,3,1,13,13,2.70%
Ka'imi Fairbairn,3,3,100,46,0,0,2,1,0,3,3,1,13,13,30.80%
Younghoe Koo,3,3,100,54,0,0,1,1,1,1,1,1,13,13,44.30%
Daniel Carlson,2,2,100,43,0,0,1,1,0,4,5,1,11,11,8.50%
Joey Slye,3,3,100,39,0,1,2,0,0,2,2,1,11,11,44.60%
Dan Bailey,2,2,100,52,0,0,0,1,1,2,2,1,11,11,28.80%
Rodrigo Blankenship,3,3,100,37,0,1,2,0,0,2,2,1,11,11,82.90%
Justin Tucker,2,3,66.7,46,0,0,1,1,0,3,3,1,10,10,99.70%
Cairo Santos,2,2,100,47,0,0,1,1,0,2,2,1,9,9,0.20%
Chris Boswell,1,1,100,41,0,0,0,1,0,5,5,1,9,9,39.80%
Zane Gonzalez,1,1,100,47,0,0,0,1,0,3,3,1,7,7,61.80%
Harrison Butker,1,1,100,32,0,0,1,0,0,3,3,1,6,6,97.50%
Sam Sloman,1,1,100,28,0,1,0,0,0,3,4,1,6,6,5.50%
Stephen Gostkowski,0,0,0,0,0,0,0,0,0,6,6,1,6,6,44.90%
Dustin Hopkins,1,1,100,48,0,0,0,1,0,1,1,1,5,5,0.60%
Robbie Gould,1,1,100,37,0,0,1,0,0,2,2,1,5,5,77.20%
Tyler Bass,1,1,100,43,0,0,0,1,0,1,1,1,5,5,3.90%
Sam Ficken,1,1,100,26,0,1,0,0,0,1,1,1,4,4,0.30%
Jason Myers,0,0,0,0,0,0,0,0,0,3,3,1,3,3,24.80%
Jake Elliott,0,1,0,0,0,0,0,0,0,3,3,1,3,3,34.90%
Randy Bullock,1,1,100,38,0,0,1,0,0,0,0,1,3,3,29.10%
Michael Badgley,0,1,0,0,0,0,0,0,0,3,4,1,3,3,5.90%
Stephen Hauschka,0,2,0,0,0,0,0,0,0,2,2,1,2,2,0.70%
Ryan Santoso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Aldrick Rosas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10%
Rigoberto Sanchez,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
Kaare Vedvik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20%
Eddy Pineiro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10%
Greg Joseph,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Jonathan Brown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10%
Josh Lambo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.40%
Sergio Castillo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Michael Palardy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.30%
Ty Long,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.70%
Matt McCrane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Chase McLaughlin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.70%
Matt Gay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.80%
Elliott Fry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00%
Austin Seibert,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.10%
Cameron Nizialek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Justin Rohrwasser,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20%
Dominik Eberle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Tucker McCann,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Brandon McManus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.60%
Mike Nugent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00%
Nick Folk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.00%
Parker Douglass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Piotr Czech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Steven Weatherford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Zac Derr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Ricky Schmit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Matt Prater,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.20%
Jason Reda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Andrew Wellock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Carlos Martinez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Garrett Rivas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
MacKenzie Hoambrecker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Mark Hickok,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Kai Forbath,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20%
Saverio Rocca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Connor Hughes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Brett Maher,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Andrew Jacas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Clint Stitser,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Garrett Lindholm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
