Player,FG,FGA,PCT,LG,19-Jan,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,OWN
Brandon McManus,6,6,100,54,0,2,0,2,2,0,0,1,24,24,7.50%
Younghoe Koo,4,4,100,50,0,1,0,2,1,4,4,1,20,20,45.50%
Justin Tucker,3,3,100,55,0,0,0,2,1,3,3,1,16,16,99.20%
Cairo Santos,3,3,100,55,0,0,2,0,1,2,2,1,13,13,0.20%
Randy Bullock,2,3,66.7,55,0,0,0,1,1,3,3,1,12,12,29.10%
Joey Slye,3,4,75,48,0,2,0,1,0,1,1,1,11,11,44.70%
Matt Prater,2,3,66.7,41,0,0,1,1,0,4,4,1,11,11,51.70%
Ryan Succop,1,1,100,50,0,0,0,0,1,5,5,1,10,10,11.80%
Zane Gonzalez,1,1,100,26,0,1,0,0,0,5,5,1,8,8,62.20%
Graham Gano,2,2,100,33,0,1,1,0,0,2,2,1,8,8,20.50%
Rodrigo Blankenship,1,1,100,40,0,0,0,1,0,4,4,1,8,8,81.30%
Harrison Butker,2,2,100,37,0,0,2,0,0,2,3,1,8,8,97.50%
Chris Boswell,1,1,100,35,0,0,1,0,0,5,5,1,8,8,39.70%
Robbie Gould,1,1,100,49,0,0,0,1,0,3,3,1,7,7,76.70%
Nick Folk,2,2,100,41,0,0,1,1,0,0,0,1,7,7,2.10%
Dustin Hopkins,2,3,66.7,35,0,1,1,0,0,1,1,1,7,7,0.60%
Ka'imi Fairbairn,1,1,100,38,0,0,1,0,0,3,4,1,6,6,30.20%
Jason Sanders,1,1,100,24,0,1,0,0,0,3,3,1,6,6,59.40%
Tyler Bass,1,2,50,48,0,0,0,1,0,2,2,1,6,6,4.00%
Sam Sloman,1,1,100,42,0,0,0,1,0,1,2,1,5,5,5.50%
Mason Crosby,1,1,100,39,0,0,1,0,0,1,1,1,4,4,54.50%
Greg Zuerlein,1,2,50,34,0,0,1,0,0,1,1,1,4,4,84.30%
Stephen Gostkowski,0,2,0,0,0,0,0,0,0,4,4,1,4,4,44.70%
Jonathan Brown,1,2,50,31,0,0,1,0,0,1,1,1,4,4,0.10%
Cody Parkey,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2.70%
Dan Bailey,0,0,0,0,0,0,0,0,0,1,1,1,1,1,28.40%
Ryan Santoso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Michael Badgley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.80%
Kaare Vedvik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20%
Jake Elliott,0,1,0,0,0,0,0,0,0,0,0,1,0,0,34.60%
Aldrick Rosas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10%
Eddy Pineiro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10%
Daniel Carlson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.20%
Sam Ficken,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.30%
Rigoberto Sanchez,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
Greg Joseph,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Wil Lutz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.70%
Josh Lambo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.40%
Sergio Castillo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Michael Palardy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.30%
Jason Myers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.40%
Ty Long,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.70%
Matt McCrane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Cameron Nizialek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Matt Gay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.80%
Elliott Fry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.90%
Austin Seibert,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.00%
Chase McLaughlin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.70%
Dominik Eberle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Tucker McCann,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Justin Rohrwasser,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20%
Mike Nugent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00%
Parker Douglass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Piotr Czech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Steven Weatherford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Zac Derr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Ricky Schmit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Jason Reda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Andrew Wellock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Carlos Martinez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Garrett Rivas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
MacKenzie Hoambrecker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Mark Hickok,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Kai Forbath,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20%
Saverio Rocca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Clint Stitser,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Brett Maher,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Andrew Jacas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Connor Hughes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Garrett Lindholm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
